,,,,
Section,Item,Type,Codelist,XML
sector,,,,iati-activities/iati-activity/sector
,vocabulary,xsd:string,Sector Vocabulary,iati-activities/iati-activity/sector/@vocabulary
,vocabulary-uri,xsd:anyURI,,iati-activities/iati-activity/sector/@vocabulary-uri
,code,xsd:string,(DAC 5 Digit Sector)(DAC 3 Digit Sector)(UN Sustainable Development Goals (SDG))(UN Sustainable Development Goals (SDG) Targets),iati-activities/iati-activity/sector/@code
,percentage,xsd:decimal,,iati-activities/iati-activity/sector/@percentage
,narrative,,,iati-activities/iati-activity/sector/narrative
,,xsd:string,,iati-activities/iati-activity/sector/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/sector/narrative/@xml:lang
tag,,,,iati-activities/iati-activity/tag
,code,xsd:string,(UN Sustainable Development Goals (SDG))(UN Sustainable Development Goals (SDG) Targets),iati-activities/iati-activity/tag/@code
,vocabulary,xsd:string,Tag Vocabulary,iati-activities/iati-activity/tag/@vocabulary
,vocabulary-uri,xsd:anyURI,,iati-activities/iati-activity/tag/@vocabulary-uri
,narrative,,,iati-activities/iati-activity/tag/narrative
,,xsd:string,,iati-activities/iati-activity/tag/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/tag/narrative/@xml:lang
country-budget-items,,,,iati-activities/iati-activity/country-budget-items
,vocabulary,xsd:string,Budget Identifier Vocabulary,iati-activities/iati-activity/country-budget-items/@vocabulary
,budget-item,,,iati-activities/iati-activity/country-budget-items/budget-item
,code,xsd:string,(Budget Identifier),iati-activities/iati-activity/country-budget-items/budget-item/@code
,percentage,xsd:decimal,,iati-activities/iati-activity/country-budget-items/budget-item/@percentage
,description,,,iati-activities/iati-activity/country-budget-items/budget-item/description
,narrative,,,iati-activities/iati-activity/country-budget-items/budget-item/description/narrative
,,xsd:string,,iati-activities/iati-activity/country-budget-items/budget-item/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/country-budget-items/budget-item/description/narrative/@xml:lang
humanitarian-scope,,,,iati-activities/iati-activity/humanitarian-scope
,type,xsd:string,Humanitarian Scope Type,iati-activities/iati-activity/humanitarian-scope/@type
,vocabulary,xsd:string,Humanitarian Scope Vocabulary,iati-activities/iati-activity/humanitarian-scope/@vocabulary
,vocabulary-uri,xsd:anyURI,,iati-activities/iati-activity/humanitarian-scope/@vocabulary-uri
,code,xsd:string,,iati-activities/iati-activity/humanitarian-scope/@code
,narrative,,,iati-activities/iati-activity/humanitarian-scope/narrative
,,xsd:string,,iati-activities/iati-activity/humanitarian-scope/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/humanitarian-scope/narrative/@xml:lang
policy-marker,,,,iati-activities/iati-activity/policy-marker
,vocabulary,xsd:string,Policy Marker Vocabulary,iati-activities/iati-activity/policy-marker/@vocabulary
,vocabulary-uri,xsd:anyURI,,iati-activities/iati-activity/policy-marker/@vocabulary-uri
,code,xsd:string,(Policy Marker),iati-activities/iati-activity/policy-marker/@code
,significance,xsd:string,Policy Significance,iati-activities/iati-activity/policy-marker/@significance
,narrative,,,iati-activities/iati-activity/policy-marker/narrative
,,xsd:string,,iati-activities/iati-activity/policy-marker/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/policy-marker/narrative/@xml:lang
collaboration-type,,,,iati-activities/iati-activity/collaboration-type
,code,xsd:string,Collaboration Type,iati-activities/iati-activity/collaboration-type/@code
default-flow-type,,,,iati-activities/iati-activity/default-flow-type
,code,xsd:string,Flow Type,iati-activities/iati-activity/default-flow-type/@code
default-finance-type,,,,iati-activities/iati-activity/default-finance-type
,code,xsd:string,Finance Type,iati-activities/iati-activity/default-finance-type/@code
default-aid-type,,,,iati-activities/iati-activity/default-aid-type
,code,xsd:string,(Aid Type)(Earmarking Category)(Cash and Voucher Modalities),iati-activities/iati-activity/default-aid-type/@code
,vocabulary,xsd:string,Aid Type Vocabulary,iati-activities/iati-activity/default-aid-type/@vocabulary
default-tied-status,,,,iati-activities/iati-activity/default-tied-status
,code,xsd:string,Tied Status,iati-activities/iati-activity/default-tied-status/@code
budget,,,,iati-activities/iati-activity/budget
,type,xsd:string,Budget Type,iati-activities/iati-activity/budget/@type
,status,xsd:string,Budget Status,iati-activities/iati-activity/budget/@status
,period-start,,,iati-activities/iati-activity/budget/period-start
,iso-date,xsd:date,,iati-activities/iati-activity/budget/period-start/@iso-date
,period-end,,,iati-activities/iati-activity/budget/period-end
,iso-date,xsd:date,,iati-activities/iati-activity/budget/period-end/@iso-date
,value,xsd:decimal,,iati-activities/iati-activity/budget/value
,currency,xsd:string,Currency,iati-activities/iati-activity/budget/value/@currency
,value-date,xsd:date,,iati-activities/iati-activity/budget/value/@value-date
planned-disbursement,,,,iati-activities/iati-activity/planned-disbursement
,type,xsd:string,Budget Type,iati-activities/iati-activity/planned-disbursement/@type
,period-start,,,iati-activities/iati-activity/planned-disbursement/period-start
,iso-date,xsd:date,,iati-activities/iati-activity/planned-disbursement/period-start/@iso-date
,period-end,,,iati-activities/iati-activity/planned-disbursement/period-end
,iso-date,xsd:date,,iati-activities/iati-activity/planned-disbursement/period-end/@iso-date
,value,xsd:decimal,,iati-activities/iati-activity/planned-disbursement/value
,currency,xsd:string,Currency,iati-activities/iati-activity/planned-disbursement/value/@currency
,value-date,xsd:date,,iati-activities/iati-activity/planned-disbursement/value/@value-date
,provider-org,,,iati-activities/iati-activity/planned-disbursement/provider-org
,ref,xsd:string,,iati-activities/iati-activity/planned-disbursement/provider-org/@ref
,provider-activity-id,xsd:string,,iati-activities/iati-activity/planned-disbursement/provider-org/@provider-activity-id
,type,xsd:string,Organisation Type,iati-activities/iati-activity/planned-disbursement/provider-org/@type
,narrative,,,iati-activities/iati-activity/planned-disbursement/provider-org/narrative
,,xsd:string,,iati-activities/iati-activity/planned-disbursement/provider-org/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/planned-disbursement/provider-org/narrative/@xml:lang
,receiver-org,,,iati-activities/iati-activity/planned-disbursement/receiver-org
,ref,xsd:string,,iati-activities/iati-activity/planned-disbursement/receiver-org/@ref
,receiver-activity-id,xsd:string,,iati-activities/iati-activity/planned-disbursement/receiver-org/@receiver-activity-id
,type,xsd:string,Organisation Type,iati-activities/iati-activity/planned-disbursement/receiver-org/@type
,narrative,,,iati-activities/iati-activity/planned-disbursement/receiver-org/narrative
,,xsd:string,,iati-activities/iati-activity/planned-disbursement/receiver-org/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/planned-disbursement/receiver-org/narrative/@xml:lang
capital-spend,,,,iati-activities/iati-activity/capital-spend
,percentage,xsd:decimal,,iati-activities/iati-activity/capital-spend/@percentage
transaction,,,,iati-activities/iati-activity/transaction
,ref,xsd:string,,iati-activities/iati-activity/transaction/@ref
,humanitarian,xsd:boolean,,iati-activities/iati-activity/transaction/@humanitarian
,transaction-type,,,iati-activities/iati-activity/transaction/transaction-type
,code,xsd:string,Transaction Type,iati-activities/iati-activity/transaction/transaction-type/@code
,transaction-date,,,iati-activities/iati-activity/transaction/transaction-date
,iso-date,xsd:date,,iati-activities/iati-activity/transaction/transaction-date/@iso-date
,value,xsd:decimal,,iati-activities/iati-activity/transaction/value
,currency,xsd:string,Currency,iati-activities/iati-activity/transaction/value/@currency
,value-date,xsd:date,,iati-activities/iati-activity/transaction/value/@value-date
,description,,,iati-activities/iati-activity/transaction/description
,narrative,,,iati-activities/iati-activity/transaction/description/narrative
,,xsd:string,,iati-activities/iati-activity/transaction/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/transaction/description/narrative/@xml:lang
,provider-org,,,iati-activities/iati-activity/transaction/provider-org
