Type,Proposed IATIPlus Fields,Labels,Properties
,Tag_VocabularyUri,,Tag_VocabularyUri
,TagNarrative,TagNarrative,
,TagNarrative_Text,,TagNarrative_Text
,TagNarrative_Lang,,TagNarrative_Lang
,CountryBudgetItems,CountryBudgetItems,
,CountryBudgetItems_Vocabulary,,CountryBudgetItems_Vocabulary
,CountryBudgetItemsBudgetItem,CountryBudgetItemsBudgetItem,
,CountryBudgetItemsBudgetItem_Code,,CountryBudgetItemsBudgetItem_Code
,CountryBudgetItemsBudgetItem_Percentage,,CountryBudgetItemsBudgetItem_Percentage
,CountryBudgetItemsBudgetItemDescription,CountryBudgetItemsBudgetItemDescription,
,CountryBudgetItemsBudgetItemDescriptionNarrative,CountryBudgetItemsBudgetItemDescriptionNarrative,
,CountryBudgetItemsBudgetItemDescriptionNarrative_Text,,CountryBudgetItemsBudgetItemDescriptionNarrative_Text
,CountryBudgetItemsBudgetItemDescriptionNarrative_Lang,,CountryBudgetItemsBudgetItemDescriptionNarrative_Lang
,HumanitarianScope,HumanitarianScope,
,HumanitarianScope_Type,,HumanitarianScope_Type
,HumanitarianScope_Vocabulary,,HumanitarianScope_Vocabulary
,HumanitarianScope_VocabularyUri,,HumanitarianScope_VocabularyUri
,HumanitarianScope_Code,,HumanitarianScope_Code
,HumanitarianScopeNarrative,HumanitarianScopeNarrative,
,HumanitarianScopeNarrative_Text,,HumanitarianScopeNarrative_Text
,HumanitarianScopeNarrative_Lang,,HumanitarianScopeNarrative_Lang
,PolicyMarker,PolicyMarker,
,PolicyMarker_Vocabulary,,PolicyMarker_Vocabulary
,PolicyMarker_VocabularyUri,,PolicyMarker_VocabularyUri
,PolicyMarker_Code,,PolicyMarker_Code
,PolicyMarker_Significance,,PolicyMarker_Significance
,PolicyMarkerNarrative,PolicyMarkerNarrative,
,PolicyMarkerNarrative_Text,,PolicyMarkerNarrative_Text
,PolicyMarkerNarrative_Lang,,PolicyMarkerNarrative_Lang
,CollaborationType,CollaborationType,
,CollaborationType_Code,,CollaborationType_Code
,DefaultFlowType,DefaultFlowType,
,DefaultFlowType_Code,,DefaultFlowType_Code
,DefaultFinanceType,DefaultFinanceType,
,DefaultFinanceType_Code,,DefaultFinanceType_Code
,DefaultAidType,DefaultAidType,
,DefaultAidType_Code,,DefaultAidType_Code
,DefaultAidType_Vocabulary,,DefaultAidType_Vocabulary
,DefaultTiedStatus,DefaultTiedStatus,
,DefaultTiedStatus_Code,,DefaultTiedStatus_Code
,Budget,Budget,
,Budget_Type,,Budget_Type
,Budget_Status,,Budget_Status
,BudgetPeriodStart,BudgetPeriodStart,
,BudgetPeriodStart_IsoDate,,BudgetPeriodStart_IsoDate
,BudgetPeriodEnd,BudgetPeriodEnd,
,BudgetPeriodEnd_IsoDate,,BudgetPeriodEnd_IsoDate
,BudgetValue,BudgetValue,
,BudgetValue_Currency,,BudgetValue_Currency
,BudgetValue_ValueDate,,BudgetValue_ValueDate
,BudgetValue_Text,,BudgetValue_Text
,PlannedDisbursement,PlannedDisbursement,
,PlannedDisbursement_Type,,PlannedDisbursement_Type
,PlannedDisbursementPeriodStart,PlannedDisbursementPeriodStart,
,PlannedDisbursementPeriodStart_IsoDate,,PlannedDisbursementPeriodStart_IsoDate
,PlannedDisbursementPeriodEnd,PlannedDisbursementPeriodEnd,
,PlannedDisbursementPeriodEnd_IsoDate,,PlannedDisbursementPeriodEnd_IsoDate
,PlannedDisbursementValue,PlannedDisbursementValue,
,PlannedDisbursementValue_Currency,,PlannedDisbursementValue_Currency
,PlannedDisbursementValue_ValueDate,,PlannedDisbursementValue_ValueDate
,PlannedDisbursementValue_Text,,PlannedDisbursementValue_Text
,PlannedDisbursementProviderOrg,PlannedDisbursementProviderOrg,
,PlannedDisbursementProviderOrg_Ref,,PlannedDisbursementProviderOrg_Ref
,PlannedDisbursementProviderOrg_ProviderActivityId,,PlannedDisbursementProviderOrg_ProviderActivityId
,PlannedDisbursementProviderOrg_Type,,PlannedDisbursementProviderOrg_Type
,PlannedDisbursementProviderOrgNarrative,PlannedDisbursementProviderOrgNarrative,
,PlannedDisbursementProviderOrgNarrative_Text,,PlannedDisbursementProviderOrgNarrative_Text
